Address,City,FILE,PM ID,Property ID,Property Name,Property Type,State,Zip
"45.816369, -119.812261",BOARDMAN,LOOKUP,,14001579,OAR Windprofiler Boardman OR Site,Land,OR,97818
18563 Cottonwood Lane,CONDON,LOOKUP,,14001591,OAR MMS Condon OR Site,Land,OR,97823
3180 County Road 5,ERIE,LOOKUP,,14001558,OAR Doppler Radar Erie (St Vrain) CO,Land,CO,80516
40.0406389 -104.9986889,ERIE,LOOKUP,,14001537,OAR HRDL Erie CO Site,Land,CO,80516
40.040639  -104.998689,ERIE,LOOKUP,,14001560,OAR ESRL PSD Dopplar Radar Erie CO,Land,CO,80516
15013 Denver West Parkway,GOLDEN,LOOKUP,,14001538,OAR Wind Profiler Golden CO,Land,CO,80401
1001 Harbor Avenue,GRAND HAVEN,LOOKUP,,14001048,OAR GLERL Rip Current Equipment Grand Haven MI,Structure,MI,49417
30750 Weld County Road 45,GREELEY,LOOKUP,,14001539,OAR Wind Profiler Greeley CO Site,Land,CO,80631
1437 Kilauea Avenue,HILO,LOOKUP,2406661.0,14000685,OAR ESRL GMD CMDL Office Space Hilo HI,Building,HI,96720
645 Fish Hatchery Rd,MARION,LOOKUP,,14001434,OAR ESRL PSD OP Marion NC,Land,NC,28752
3419 Fish Hatchery Road,MORGANTON,LOOKUP,,14001433,OAR ESRL PSD OP Morganton NC,Land,NC,28655
5157 Highway 64,MORGANTON,LOOKUP,,14001429,OAR ESRL PSD OP Brendletown NC,Land,NC,28655
4323 A Highway 539,NAVAJO DAM,LOOKUP,,14001565,OAR Observing Platform Navajo Lake NM,Land,NM,87419
6065 Linville Falls Hwy,NEWLAND,LOOKUP,,14001443,OAR ESRL PSD OP Newland NC,Land,NC,28657
456 South Illinois Avenue,OAK RIDGE,LOOKUP,4429407.0,14001422,OAR ARL Modular Office Oak Ridge TN,Building,TN,37830
367 Cherry Springs Rd,OLD FORT,LOOKUP,,14001472,OAR ESRL PSD Old Fort NC Site,Land,NC,28762
4585 SW Airport Road,PRINEVILLE,LOOKUP,,14001577,OAR MMS Prineville OR Site,Land,OR,97754
35.6655 -121.284294,SAN SIMEON,LOOKUP,,14000966,OAR ESRL PSD Piedras Blancas Wind Profiler Site,Land,CA,93452
3639 SE Ash Street,SOUTHBEACH,LOOKUP,,14000414,OAR PMEL Storage Locker Newport (Southbeach) OR,Building,OR,97366
"SE 1/4 of the SW 1/4 Sec. 15, T. 15 N., R 16 E",TAHOE CITY,LOOKUP,,14001045,OAR ESRL PSD Weather Station Tower Tahoe City CA,Structure,CA,96145
35.08  -103.6,TUCUMCARI,LOOKUP,,NMM00401,28 Wind Profiler TCUN5,Land,NM,88401
45.5892042  -120.6739847,WASCO,LOOKUP,,14001590,OAR Meteorological Wasco OR Site,Land,OR,97065
1397 U.S. Highway 54,ELDON,RPMD,,14001625,NWR Eldon MO 9440/11 WXJ90,Structure,MO,65026
"-14.272572,  -170.701355",Pago Pago,RPMD,,14001626,NOS R/V Manuma Vessel Shelter,Structure,AS,96799
70543 NE Herman Loop,CASCADE LOCKS,RPMD,,14001627,OAR OP Cascade Locks OR,Land,OR,97014
106 Richardson ST,OXFORD,RPMD,,14001628,NOS Campbell's Boatyard Jack's Point,Structure,MD,21654
271 Stone Road,MONTEREY,RPMD,,14001629,OAR ARO Monterey CA,Land,CA,93942
259 High St.,SOUTH PORTLAND,RPMD,,14001630,OMAO Pier Space Portland ME,Structure,ME,04106
427 Commercial St.,BOSTON,RPMD,,14001631,OMAO Pier Space Boston MA,Structure,MA,02109
4508 J Road,REDWOOD VALLEY,RPMD,,14001632,OAR Ford Ranch Redwood Valley CA Site,Land,CA,95470
